name_circuit,Yarış,Galibiyet,Podyum,Puan,Ortalama_Pozisyon
Autodromo Nazionale di Monza,74,20,75,808.5,4.295774647887324
Silverstone Circuit,58,15,48,583.78,5.33
Circuit de Spa-Francorchamps,57,14,42,522.5,4.517241379310345
Nürburgring,39,14,42,357.0,4.076923076923077
Circuit Gilles Villeneuve,43,11,34,466.0,3.9682539682539684
Hockenheimring,37,11,24,304.0,4.596153846153846
Circuit de Monaco,69,10,58,634.5,4.157407407407407
Albert Park Grand Prix Circuit,27,10,22,410.0,3.717948717948718
Autódromo José Carlos Pace,41,9,28,452.0,4.9714285714285715
Circuit de Barcelona-Catalunya,34,8,25,431.0,4.245283018867925
